EventTime,EventType,Event
,AGENT_TYPE,AdaptivePOVMarketMakerAgent
,STARTING_CASH,10000000
2020-08-28 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2020-08-28 10:00:10.006213344,BID_DEPTH,"[(100079, 32)]"
2020-08-28 10:00:10.006213344,ASK_DEPTH,"[(100160, 35)]"
2020-08-28 10:00:10.006213344,IMBALANCE,"[32, 35]"
2020-08-28 10:00:13.510319775,HOLDINGS_UPDATED,"{'CASH': 10300468, 'ABM': -3}"
2020-08-28 10:00:20.012427638,BID_DEPTH,"[(100156, 23.0)]"
2020-08-28 10:00:20.012427638,ASK_DEPTH,"[(100157, 74)]"
2020-08-28 10:00:20.012427638,IMBALANCE,"[23.0, 74]"
2020-08-28 10:00:30.018641982,BID_DEPTH,"[(100156, 23.0)]"
2020-08-28 10:00:30.018641982,ASK_DEPTH,"[(100157, 74)]"
2020-08-28 10:00:30.018641982,IMBALANCE,"[23.0, 74]"
2020-08-28 10:00:40.024856326,BID_DEPTH,"[(100156, 23.0)]"
2020-08-28 10:00:40.024856326,ASK_DEPTH,"[(100157, 74)]"
2020-08-28 10:00:40.024856326,IMBALANCE,"[23.0, 74]"
2020-08-28 10:00:50.031070670,BID_DEPTH,"[(100156, 26.0)]"
2020-08-28 10:00:50.031070670,ASK_DEPTH,"[(100157, 6)]"
2020-08-28 10:00:50.031070670,IMBALANCE,"[26.0, 6]"
2020-08-28 10:00:55.148585282,HOLDINGS_UPDATED,"{'CASH': 10200312, 'ABM': -2}"
2020-08-28 10:00:55.403388665,HOLDINGS_UPDATED,"{'CASH': 10100162, 'ABM': -1}"
2020-08-28 10:00:59.310685520,HOLDINGS_UPDATED,{'CASH': 10000018}
2020-08-28 10:01:00.037284864,BID_DEPTH,[]
2020-08-28 10:01:00.037284864,ASK_DEPTH,"[(100144, 30)]"
2020-08-28 10:01:00.037284864,IMBALANCE,"[0, 30]"
2020-08-28 10:01:00.043498608,HOLDINGS_UPDATED,"{'CASH': 9799730, 'ABM': 2}"
2020-08-28 10:01:00.043498658,HOLDINGS_UPDATED,"{'CASH': 9599442, 'ABM': 4}"
2020-08-28 10:01:00.043498708,HOLDINGS_UPDATED,"{'CASH': 9399154, 'ABM': 6}"
2020-08-28 10:01:10.043499058,BID_DEPTH,[]
2020-08-28 10:01:10.043499058,ASK_DEPTH,"[(100139, 30)]"
2020-08-28 10:01:10.043499058,IMBALANCE,"[0, 30]"
2020-08-28 10:01:10.049712802,HOLDINGS_UPDATED,"{'CASH': 9299015, 'ABM': 7}"
2020-08-28 10:01:10.049712852,HOLDINGS_UPDATED,"{'CASH': 9198876, 'ABM': 8}"
2020-08-28 10:01:10.049712902,HOLDINGS_UPDATED,"{'CASH': 9098737, 'ABM': 9}"
2020-08-28 10:01:20.049713252,BID_DEPTH,[]
2020-08-28 10:01:20.049713252,ASK_DEPTH,"[(100139, 61)]"
2020-08-28 10:01:20.049713252,IMBALANCE,"[0, 61]"
2020-08-28 10:01:20.055926996,HOLDINGS_UPDATED,"{'CASH': 8998598, 'ABM': 10}"
2020-08-28 10:01:20.055927046,HOLDINGS_UPDATED,"{'CASH': 8898459, 'ABM': 11}"
2020-08-28 10:01:20.055927096,HOLDINGS_UPDATED,"{'CASH': 8798320, 'ABM': 12}"
2020-08-28 10:01:21.361566229,HOLDINGS_UPDATED,"{'CASH': 8698182, 'ABM': 13}"
2020-08-28 10:01:25.152913437,HOLDINGS_UPDATED,"{'CASH': 8598050, 'ABM': 14}"
2020-08-28 10:01:30.055927346,BID_DEPTH,[]
2020-08-28 10:01:30.055927346,ASK_DEPTH,"[(100132, 40)]"
2020-08-28 10:01:30.055927346,IMBALANCE,"[0, 40]"
2020-08-28 10:01:30.062140990,HOLDINGS_UPDATED,"{'CASH': 8197522, 'ABM': 18}"
2020-08-28 10:01:30.062141040,HOLDINGS_UPDATED,"{'CASH': 7796994, 'ABM': 22}"
2020-08-28 10:01:30.062141090,HOLDINGS_UPDATED,"{'CASH': 7396466, 'ABM': 26}"
2020-08-28 10:01:30.062141140,HOLDINGS_UPDATED,"{'CASH': 6995938, 'ABM': 30}"
2020-08-28 10:01:30.062141190,HOLDINGS_UPDATED,"{'CASH': 6595410, 'ABM': 34}"
2020-08-28 10:01:40.062141440,BID_DEPTH,"[(100126, 36)]"
2020-08-28 10:01:40.062141440,ASK_DEPTH,"[(100127, 28)]"
2020-08-28 10:01:40.062141440,IMBALANCE,"[36, 28]"
2020-08-28 10:01:46.439541730,HOLDINGS_UPDATED,"{'CASH': 6495284, 'ABM': 35}"
2020-08-28 10:01:50.068355734,BID_DEPTH,[]
2020-08-28 10:01:50.068355734,ASK_DEPTH,"[(100122, 35)]"
2020-08-28 10:01:50.068355734,IMBALANCE,"[0, 35]"
2020-08-28 10:01:50.074569578,HOLDINGS_UPDATED,"{'CASH': 6395162, 'ABM': 36}"
2020-08-28 10:01:59.985214633,HOLDINGS_UPDATED,"{'CASH': 6295041, 'ABM': 37}"
2020-08-28 10:02:00.074569978,BID_DEPTH,[]
2020-08-28 10:02:00.074569978,ASK_DEPTH,"[(100121, 33)]"
2020-08-28 10:02:00.074569978,IMBALANCE,"[0, 33]"
2020-08-28 10:02:00.080783772,HOLDINGS_UPDATED,"{'CASH': 6094799, 'ABM': 39}"
2020-08-28 10:02:00.080783822,HOLDINGS_UPDATED,"{'CASH': 5894557, 'ABM': 41}"
2020-08-28 10:02:05.793345403,HOLDINGS_UPDATED,"{'CASH': 5694325, 'ABM': 43}"
2020-08-28 10:02:10.080784172,BID_DEPTH,[]
2020-08-28 10:02:10.080784172,ASK_DEPTH,"[(100116, 57)]"
2020-08-28 10:02:10.080784172,IMBALANCE,"[0, 57]"
2020-08-28 10:02:10.086997916,HOLDINGS_UPDATED,"{'CASH': 5594209, 'ABM': 44}"
2020-08-28 10:02:10.086997966,HOLDINGS_UPDATED,"{'CASH': 5494093, 'ABM': 45}"
2020-08-28 10:02:10.086998016,HOLDINGS_UPDATED,"{'CASH': 5393977, 'ABM': 46}"
2020-08-28 10:02:20.086998366,BID_DEPTH,"[(100113, 35)]"
2020-08-28 10:02:20.086998366,ASK_DEPTH,"[(100116, 54)]"
2020-08-28 10:02:20.086998366,IMBALANCE,"[35, 54]"
2020-08-28 10:02:30.093212710,BID_DEPTH,"[(100115, 78)]"
2020-08-28 10:02:30.093212710,ASK_DEPTH,"[(100116, 19)]"
2020-08-28 10:02:30.093212710,IMBALANCE,"[78, 19]"
2020-08-28 10:02:32.057296533,HOLDINGS_UPDATED,"{'CASH': 5494093, 'ABM': 45}"
2020-08-28 10:02:40.099427004,BID_DEPTH,"[(100121, 35)]"
2020-08-28 10:02:40.099427004,ASK_DEPTH,"[(100160, 35)]"
2020-08-28 10:02:40.099427004,IMBALANCE,"[35, 35]"
2020-08-28 10:02:40.105640848,HOLDINGS_UPDATED,"{'CASH': 5393970, 'ABM': 46}"
2020-08-28 10:02:50.105641298,BID_DEPTH,"[(100129, 35)]"
2020-08-28 10:02:50.105641298,ASK_DEPTH,"[(100130, 68)]"
2020-08-28 10:02:50.105641298,IMBALANCE,"[35, 68]"
2020-08-28 10:02:54.677722873,HOLDINGS_UPDATED,"{'CASH': 5293845, 'ABM': 47}"
2020-08-28 10:03:00.111855592,BID_DEPTH,"[(100112, 29)]"
2020-08-28 10:03:00.111855592,ASK_DEPTH,"[(100125, 34)]"
2020-08-28 10:03:00.111855592,IMBALANCE,"[29, 34]"
2020-08-28 10:03:10.118069936,BID_DEPTH,"[(100108, 36)]"
2020-08-28 10:03:10.118069936,ASK_DEPTH,"[(100125, 34)]"
2020-08-28 10:03:10.118069936,IMBALANCE,"[36, 34]"
2020-08-28 10:03:20.124284280,BID_DEPTH,"[(100123, 32)]"
2020-08-28 10:03:20.124284280,ASK_DEPTH,"[(100125, 34)]"
2020-08-28 10:03:20.124284280,IMBALANCE,"[32, 34]"
2020-08-28 10:03:24.818664418,HOLDINGS_UPDATED,"{'CASH': 5393972, 'ABM': 46}"
2020-08-28 10:03:30.130498574,BID_DEPTH,"[(100134, 29)]"
2020-08-28 10:03:30.130498574,ASK_DEPTH,"[(100160, 35)]"
2020-08-28 10:03:30.130498574,IMBALANCE,"[29, 35]"
2020-08-28 10:03:40.136712918,BID_DEPTH,"[(100143, 29)]"
2020-08-28 10:03:40.136712918,ASK_DEPTH,"[(100160, 35)]"
2020-08-28 10:03:40.136712918,IMBALANCE,"[29, 35]"
2020-08-28 10:03:50.142927262,BID_DEPTH,"[(100158, 106)]"
2020-08-28 10:03:50.142927262,ASK_DEPTH,"[(100160, 35)]"
2020-08-28 10:03:50.142927262,IMBALANCE,"[106, 35]"
2020-08-28 10:04:00.149141606,BID_DEPTH,"[(100159, 71)]"
2020-08-28 10:04:00.149141606,ASK_DEPTH,"[(100160, 35)]"
2020-08-28 10:04:00.149141606,IMBALANCE,"[71, 35]"
2020-08-28 10:04:10.155355950,BID_DEPTH,"[(100159, 109)]"
2020-08-28 10:04:10.155355950,ASK_DEPTH,"[(100160, 6)]"
2020-08-28 10:04:10.155355950,IMBALANCE,"[109, 6]"
2020-08-28 10:04:20.161570294,BID_DEPTH,"[(100159, 109)]"
2020-08-28 10:04:20.161570294,ASK_DEPTH,"[(100160, 6)]"
2020-08-28 10:04:20.161570294,IMBALANCE,"[109, 6]"
2020-08-28 10:04:21.646562579,HOLDINGS_UPDATED,"{'CASH': 5494132, 'ABM': 45}"
2020-08-28 10:04:26.133853793,HOLDINGS_UPDATED,"{'CASH': 5594297, 'ABM': 44}"
2020-08-28 10:04:30.167784538,BID_DEPTH,"[(100165, 30)]"
2020-08-28 10:04:30.167784538,ASK_DEPTH,[]
2020-08-28 10:04:30.167784538,IMBALANCE,"[30, 0]"
2020-08-28 10:04:30.173998432,HOLDINGS_UPDATED,"{'CASH': 5694462, 'ABM': 43}"
2020-08-28 10:04:30.173998482,HOLDINGS_UPDATED,"{'CASH': 5794627, 'ABM': 42}"
2020-08-28 10:04:40.173998782,BID_DEPTH,"[(100167, 35)]"
2020-08-28 10:04:40.173998782,ASK_DEPTH,[]
2020-08-28 10:04:40.173998782,IMBALANCE,"[35, 0]"
2020-08-28 10:04:40.180212676,HOLDINGS_UPDATED,"{'CASH': 5894794, 'ABM': 41}"
2020-08-28 10:04:40.180212726,HOLDINGS_UPDATED,"{'CASH': 5994961, 'ABM': 40}"
2020-08-28 10:04:50.180213026,BID_DEPTH,"[(100168, 35)]"
2020-08-28 10:04:50.180213026,ASK_DEPTH,[]
2020-08-28 10:04:50.180213026,IMBALANCE,"[35, 0]"
2020-08-28 10:04:50.186426920,HOLDINGS_UPDATED,"{'CASH': 6095129, 'ABM': 39}"
2020-08-28 10:04:50.186426970,HOLDINGS_UPDATED,"{'CASH': 6195297, 'ABM': 38}"
2020-08-28 10:04:55.649507783,HOLDINGS_UPDATED,"{'CASH': 6295467, 'ABM': 37}"
2020-08-28 10:04:59.115249709,HOLDINGS_UPDATED,"{'CASH': 6395642, 'ABM': 36}"
2020-08-28 10:04:59.477585113,HOLDINGS_UPDATED,"{'CASH': 6495822, 'ABM': 35}"
2020-08-28 10:05:00.186427120,BID_DEPTH,"[(100180, 41)]"
2020-08-28 10:05:00.186427120,ASK_DEPTH,[]
2020-08-28 10:05:00.186427120,IMBALANCE,"[41, 0]"
2020-08-28 10:05:00.192641014,HOLDINGS_UPDATED,"{'CASH': 6896542, 'ABM': 31}"
2020-08-28 10:05:00.192641064,HOLDINGS_UPDATED,"{'CASH': 7297262, 'ABM': 27}"
2020-08-28 10:05:00.192641114,HOLDINGS_UPDATED,"{'CASH': 7697982, 'ABM': 23}"
2020-08-28 10:05:00.192641164,HOLDINGS_UPDATED,"{'CASH': 8098702, 'ABM': 19}"
2020-08-28 10:05:00.192641214,HOLDINGS_UPDATED,"{'CASH': 8499422, 'ABM': 15}"
2020-08-28 10:05:09.985910936,HOLDINGS_UPDATED,"{'CASH': 8900162, 'ABM': 11}"
2020-08-28 10:05:10.192641164,BID_DEPTH,"[(100185, 28)]"
2020-08-28 10:05:10.192641164,ASK_DEPTH,[]
2020-08-28 10:05:10.192641164,IMBALANCE,"[28, 0]"
2020-08-28 10:05:10.198855058,HOLDINGS_UPDATED,"{'CASH': 9100532, 'ABM': 9}"
2020-08-28 10:05:10.198855108,HOLDINGS_UPDATED,"{'CASH': 9300902, 'ABM': 7}"
2020-08-28 10:05:10.198855158,HOLDINGS_UPDATED,"{'CASH': 9501272, 'ABM': 5}"
2020-08-28 10:05:10.198855208,HOLDINGS_UPDATED,"{'CASH': 9701642, 'ABM': 3}"
2020-08-28 10:05:10.198855258,HOLDINGS_UPDATED,"{'CASH': 9902012, 'ABM': 1}"
2020-08-28 10:05:10.198855308,HOLDINGS_UPDATED,"{'CASH': 10102382, 'ABM': -1}"
2020-08-28 10:05:15.178057830,HOLDINGS_UPDATED,"{'CASH': 10302762, 'ABM': -3}"
2020-08-28 10:05:20.198855158,BID_DEPTH,"[(100194, 31)]"
2020-08-28 10:05:20.198855158,ASK_DEPTH,"[(100195, 2)]"
2020-08-28 10:05:20.198855158,IMBALANCE,"[31, 2]"
2020-08-28 10:05:27.856514638,HOLDINGS_UPDATED,"{'CASH': 10503152, 'ABM': -5}"
2020-08-28 10:05:28.612742565,HOLDINGS_UPDATED,"{'CASH': 10703552, 'ABM': -7}"
2020-08-28 10:05:30.205069402,BID_DEPTH,"[(100200, 34)]"
2020-08-28 10:05:30.205069402,ASK_DEPTH,"[(100201, 43)]"
2020-08-28 10:05:30.205069402,IMBALANCE,"[34, 43]"
2020-08-28 10:05:31.793670622,HOLDINGS_UPDATED,"{'CASH': 10803753, 'ABM': -8}"
2020-08-28 10:05:38.812876705,HOLDINGS_UPDATED,"{'CASH': 10903959, 'ABM': -9}"
2020-08-28 10:05:40.211283646,BID_DEPTH,"[(100206, 37)]"
2020-08-28 10:05:40.211283646,ASK_DEPTH,"[(100211, 3)]"
2020-08-28 10:05:40.211283646,IMBALANCE,"[37, 3]"
2020-08-28 10:05:41.846990484,HOLDINGS_UPDATED,"{'CASH': 11204592, 'ABM': -12}"
2020-08-28 10:05:47.115984226,HOLDINGS_UPDATED,"{'CASH': 11505285, 'ABM': -15}"
2020-08-28 10:05:50.217497890,BID_DEPTH,"[(100249, 33)]"
2020-08-28 10:05:50.217497890,ASK_DEPTH,"[(100252, 1)]"
2020-08-28 10:05:50.217497890,IMBALANCE,"[33, 1]"
2020-08-28 10:05:52.489535080,HOLDINGS_UPDATED,"{'CASH': 11605537, 'ABM': -16}"
2020-08-28 10:06:00.223712184,BID_DEPTH,"[(100265, 29)]"
2020-08-28 10:06:00.223712184,ASK_DEPTH,"[(100268, 1)]"
2020-08-28 10:06:00.223712184,IMBALANCE,"[29, 1]"
2020-08-28 10:06:06.560339047,HOLDINGS_UPDATED,"{'CASH': 11705805, 'ABM': -17}"
2020-08-28 10:06:10.229926478,BID_DEPTH,"[(100267, 1)]"
2020-08-28 10:06:10.229926478,ASK_DEPTH,"[(100282, 1)]"
2020-08-28 10:06:10.229926478,IMBALANCE,"[1, 1]"
2020-08-28 10:06:20.236140822,BID_DEPTH,"[(100268, 1)]"
2020-08-28 10:06:20.236140822,ASK_DEPTH,"[(100281, 1)]"
2020-08-28 10:06:20.236140822,IMBALANCE,"[1, 1]"
2020-08-28 10:06:27.387539586,HOLDINGS_UPDATED,"{'CASH': 11806086, 'ABM': -18}"
2020-08-28 10:06:30.242355116,BID_DEPTH,"[(100328, 33)]"
2020-08-28 10:06:30.242355116,ASK_DEPTH,"[(100345, 1)]"
2020-08-28 10:06:30.242355116,IMBALANCE,"[33, 1]"
2020-08-28 10:06:40.248569460,BID_DEPTH,"[(100327, 1)]"
2020-08-28 10:06:40.248569460,ASK_DEPTH,"[(100332, 32)]"
2020-08-28 10:06:40.248569460,IMBALANCE,"[1, 32]"
2020-08-28 10:06:50.254783804,BID_DEPTH,"[(100326, 1)]"
2020-08-28 10:06:50.254783804,ASK_DEPTH,"[(100332, 67)]"
2020-08-28 10:06:50.254783804,IMBALANCE,"[1, 67]"
