EventTime,EventType,Event
,AGENT_TYPE,MomentumAgent
,STARTING_CASH,10000000
2020-08-28 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2020-08-28 10:00:20.005955513,BID_DEPTH,"[(100156, 23.0)]"
2020-08-28 10:00:20.005955513,ASK_DEPTH,"[(100157, 74)]"
2020-08-28 10:00:20.005955513,IMBALANCE,"[23.0, 74]"
2020-08-28 10:00:40.011911026,BID_DEPTH,"[(100156, 23.0)]"
2020-08-28 10:00:40.011911026,ASK_DEPTH,"[(100157, 74)]"
2020-08-28 10:00:40.011911026,IMBALANCE,"[23.0, 74]"
2020-08-28 10:01:00.017866539,BID_DEPTH,"[(100138, 2)]"
2020-08-28 10:01:00.017866539,ASK_DEPTH,"[(100144, 30)]"
2020-08-28 10:01:00.017866539,IMBALANCE,"[2, 30]"
2020-08-28 10:01:20.023822052,BID_DEPTH,"[(100138, 2)]"
2020-08-28 10:01:20.023822052,ASK_DEPTH,"[(100139, 62)]"
2020-08-28 10:01:20.023822052,IMBALANCE,"[2, 62]"
2020-08-28 10:01:40.029777565,BID_DEPTH,"[(100126, 40)]"
2020-08-28 10:01:40.029777565,ASK_DEPTH,"[(100127, 28)]"
2020-08-28 10:01:40.029777565,IMBALANCE,"[40, 28]"
2020-08-28 10:02:00.035733078,BID_DEPTH,"[(100116, 1)]"
2020-08-28 10:02:00.035733078,ASK_DEPTH,"[(100121, 33)]"
2020-08-28 10:02:00.035733078,IMBALANCE,"[1, 33]"
2020-08-28 10:02:20.041688591,BID_DEPTH,"[(100113, 35)]"
2020-08-28 10:02:20.041688591,ASK_DEPTH,"[(100116, 55)]"
2020-08-28 10:02:20.041688591,IMBALANCE,"[35, 55]"
2020-08-28 10:02:40.047644104,BID_DEPTH,"[(100121, 35)]"
2020-08-28 10:02:40.047644104,ASK_DEPTH,"[(100123, 1)]"
2020-08-28 10:02:40.047644104,IMBALANCE,"[35, 1]"
2020-08-28 10:03:00.053599617,BID_DEPTH,"[(100123, 1)]"
2020-08-28 10:03:00.053599617,ASK_DEPTH,"[(100125, 34)]"
2020-08-28 10:03:00.053599617,IMBALANCE,"[1, 34]"
2020-08-28 10:03:20.059555130,BID_DEPTH,"[(100123, 32)]"
2020-08-28 10:03:20.059555130,ASK_DEPTH,"[(100124, 2)]"
2020-08-28 10:03:20.059555130,IMBALANCE,"[32, 2]"
2020-08-28 10:03:40.065510643,BID_DEPTH,"[(100143, 29)]"
2020-08-28 10:03:40.065510643,ASK_DEPTH,"[(100152, 1)]"
2020-08-28 10:03:40.065510643,IMBALANCE,"[29, 1]"
2020-08-28 10:04:00.071466156,BID_DEPTH,"[(100159, 71)]"
2020-08-28 10:04:00.071466156,ASK_DEPTH,"[(100160, 35)]"
2020-08-28 10:04:00.071466156,IMBALANCE,"[71, 35]"
2020-08-28 10:04:20.077421669,BID_DEPTH,"[(100159, 111)]"
2020-08-28 10:04:20.077421669,ASK_DEPTH,"[(100160, 8)]"
2020-08-28 10:04:20.077421669,IMBALANCE,"[111, 8]"
2020-08-28 10:04:40.083377182,BID_DEPTH,"[(100167, 35)]"
2020-08-28 10:04:40.083377182,ASK_DEPTH,"[(100170, 2)]"
2020-08-28 10:04:40.083377182,IMBALANCE,"[35, 2]"
2020-08-28 10:05:00.089332695,BID_DEPTH,"[(100180, 41)]"
2020-08-28 10:05:00.089332695,ASK_DEPTH,"[(100183, 1)]"
2020-08-28 10:05:00.089332695,IMBALANCE,"[41, 1]"
2020-08-28 10:05:20.095288208,BID_DEPTH,"[(100194, 29)]"
2020-08-28 10:05:20.095288208,ASK_DEPTH,"[(100195, 2)]"
2020-08-28 10:05:20.095288208,IMBALANCE,"[29, 2]"
2020-08-28 10:05:40.101243721,BID_DEPTH,"[(100206, 34)]"
2020-08-28 10:05:40.101243721,ASK_DEPTH,"[(100207, 1)]"
2020-08-28 10:05:40.101243721,IMBALANCE,"[34, 1]"
2020-08-28 10:06:00.107199234,BID_DEPTH,"[(100265, 28)]"
2020-08-28 10:06:00.107199234,ASK_DEPTH,"[(100268, 1)]"
2020-08-28 10:06:00.107199234,IMBALANCE,"[28, 1]"
2020-08-28 10:06:20.113154747,BID_DEPTH,"[(100268, 1)]"
2020-08-28 10:06:20.113154747,ASK_DEPTH,"[(100281, 1)]"
2020-08-28 10:06:20.113154747,IMBALANCE,"[1, 1]"
2020-08-28 10:06:40.119110260,BID_DEPTH,"[(100329, 1)]"
2020-08-28 10:06:40.119110260,ASK_DEPTH,"[(100332, 32)]"
2020-08-28 10:06:40.119110260,IMBALANCE,"[1, 32]"
2020-08-28 10:07:00.125065773,BID_DEPTH,"[(100296, 1)]"
2020-08-28 10:07:00.125065773,ASK_DEPTH,"[(100326, 40)]"
2020-08-28 10:07:00.125065773,IMBALANCE,"[1, 40]"
2020-08-28 10:07:20.131021286,BID_DEPTH,"[(100315, 36)]"
2020-08-28 10:07:20.131021286,ASK_DEPTH,"[(100319, 42)]"
2020-08-28 10:07:20.131021286,IMBALANCE,"[36, 42]"
2020-08-28 10:07:40.136976799,BID_DEPTH,"[(100318, 29)]"
2020-08-28 10:07:40.136976799,ASK_DEPTH,"[(100319, 6)]"
