EventTime,EventType,Event
,AGENT_TYPE,NoiseAgent
,STARTING_CASH,10000000
2020-08-28 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2020-08-28 10:00:00.004794037,BID_DEPTH,[]
2020-08-28 10:00:00.004794037,ASK_DEPTH,[]
2020-08-28 10:00:00.004794037,IMBALANCE,"[0, 0]"
2020-08-28 10:00:00.004794037,FINAL_HOLDINGS,{ CASH: 10000000 }
2020-08-28 10:00:00.004794037,FINAL_CASH_POSITION,10000000
2020-08-28 10:00:00.004794037,MARKED_TO_MARKET,10000000
2020-08-28 10:00:00.004794037,ENDING_CASH,10000000
2020-08-28 10:00:00.004794037,FINAL_VALUATION,0.0
