EventTime,EventType,Event
,AGENT_TYPE,ValueAgent
,STARTING_CASH,10000000
2020-08-28 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2020-08-28 10:00:00.005972716,BID_DEPTH,[]
2020-08-28 10:00:00.005972716,ASK_DEPTH,[]
2020-08-28 10:00:00.005972716,IMBALANCE,"[0, 0]"
2020-08-28 10:00:00.016484509,HOLDINGS_UPDATED,"{'CASH': 12899420, 'ABM': -29}"
2020-08-28 10:00:13.504347121,BID_DEPTH,"[(100083, 6.0)]"
2020-08-28 10:00:13.504347121,ASK_DEPTH,"[(100156, 6.0)]"
2020-08-28 10:00:13.504347121,IMBALANCE,"[6.0, 6.0]"
2020-08-28 10:00:13.510319775,HOLDINGS_UPDATED,"{'CASH': 12598952.0, 'ABM': -26.0}"
2020-08-28 10:00:13.510319825,HOLDINGS_UPDATED,"{'CASH': 12298484.0, 'ABM': -23.0}"
2020-08-28 10:00:42.049329611,HOLDINGS_UPDATED,{'CASH': 9994896.0}
2020-08-28 10:00:55.142612628,BID_DEPTH,"[(100156, 28.0)]"
2020-08-28 10:00:55.142612628,ASK_DEPTH,"[(100157, 8)]"
2020-08-28 10:00:55.142612628,IMBALANCE,"[28.0, 8]"
2020-08-28 10:00:55.148585282,HOLDINGS_UPDATED,"{'CASH': 12598952.0, 'ABM': -26.0}"
2020-08-28 10:00:55.148585332,HOLDINGS_UPDATED,"{'CASH': 12699108.0, 'ABM': -27.0}"
2020-08-28 10:00:55.148585382,HOLDINGS_UPDATED,"{'CASH': 12799264.0, 'ABM': -28.0}"
2020-08-28 10:00:58.814625515,BID_DEPTH,"[(100144, 2)]"
2020-08-28 10:00:58.814625515,ASK_DEPTH,"[(100146, 32)]"
2020-08-28 10:00:58.814625515,IMBALANCE,"[2, 32]"
2020-08-28 10:01:03.758953919,BID_DEPTH,"[(100139, 2)]"
2020-08-28 10:01:03.758953919,ASK_DEPTH,"[(100144, 26)]"
2020-08-28 10:01:03.758953919,IMBALANCE,"[2, 26]"
2020-08-28 10:01:14.418355289,BID_DEPTH,"[(100138, 2)]"
2020-08-28 10:01:14.418355289,ASK_DEPTH,"[(100139, 28)]"
2020-08-28 10:01:14.418355289,IMBALANCE,"[2, 28]"
2020-08-28 10:01:20.055926596,HOLDINGS_UPDATED,"{'CASH': 12899403.0, 'ABM': -29.0}"
2020-08-28 10:01:20.055926646,HOLDINGS_UPDATED,"{'CASH': 12999542.0, 'ABM': -30.0}"
2020-08-28 10:01:20.055926696,HOLDINGS_UPDATED,"{'CASH': 13099681.0, 'ABM': -31.0}"
2020-08-28 10:01:53.380340653,BID_DEPTH,"[(100121, 2)]"
2020-08-28 10:01:53.380340653,ASK_DEPTH,"[(100122, 35)]"
2020-08-28 10:01:53.380340653,IMBALANCE,"[2, 35]"
2020-08-28 10:01:53.386313307,HOLDINGS_UPDATED,"{'CASH': 10196143.0, 'ABM': -2.0}"
2020-08-28 10:02:05.787372749,BID_DEPTH,"[(100116, 4)]"
2020-08-28 10:02:05.787372749,ASK_DEPTH,"[(100121, 31)]"
2020-08-28 10:02:05.787372749,IMBALANCE,"[4, 31]"
2020-08-28 10:02:05.793345403,HOLDINGS_UPDATED,"{'CASH': 10396375.0, 'ABM': -4.0}"
2020-08-28 10:02:05.793345453,HOLDINGS_UPDATED,"{'CASH': 10596607.0, 'ABM': -6.0}"
2020-08-28 10:02:10.086997516,HOLDINGS_UPDATED,"{'CASH': 10696723.0, 'ABM': -7.0}"
