EventTime,EventType,Event
,AGENT_TYPE,AdaptivePOVMarketMakerAgent
,STARTING_CASH,10000000
2020-06-03 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2020-06-03 10:30:10.006023185,BID_DEPTH,"[(100083, 32)]"
2020-06-03 10:30:10.006023185,ASK_DEPTH,"[(100164, 35)]"
2020-06-03 10:30:10.006023185,IMBALANCE,"[32, 35]"
2020-06-03 10:30:13.510319775,HOLDINGS_UPDATED,"{'CASH': 10300480.0, 'ABM': -3.0}"
2020-06-03 10:30:20.012047320,BID_DEPTH,"[(100160, 23.0)]"
2020-06-03 10:30:20.012047320,ASK_DEPTH,"[(100161, 74)]"
2020-06-03 10:30:20.012047320,IMBALANCE,"[23.0, 74]"
2020-06-03 10:30:30.018071505,BID_DEPTH,"[(100160, 23.0)]"
2020-06-03 10:30:30.018071505,ASK_DEPTH,"[(100161, 74)]"
2020-06-03 10:30:30.018071505,IMBALANCE,"[23.0, 74]"
2020-06-03 10:30:40.024095690,BID_DEPTH,"[(100160, 23.0)]"
2020-06-03 10:30:40.024095690,ASK_DEPTH,"[(100161, 74)]"
2020-06-03 10:30:40.024095690,IMBALANCE,"[23.0, 74]"
2020-06-03 10:30:50.030119875,BID_DEPTH,"[(100160, 26.0)]"
2020-06-03 10:30:50.030119875,ASK_DEPTH,"[(100161, 6)]"
2020-06-03 10:30:50.030119875,IMBALANCE,"[26.0, 6]"
2020-06-03 10:30:55.148585282,HOLDINGS_UPDATED,"{'CASH': 10200320.0, 'ABM': -2.0}"
2020-06-03 10:30:55.403388665,HOLDINGS_UPDATED,"{'CASH': 10100166.0, 'ABM': -1.0}"
2020-06-03 10:30:59.310685520,HOLDINGS_UPDATED,{'CASH': 10000018.0}
2020-06-03 10:31:00.036143910,BID_DEPTH,"[(100142, 1)]"
2020-06-03 10:31:00.036143910,ASK_DEPTH,"[(100148, 30)]"
2020-06-03 10:31:00.036143910,IMBALANCE,"[1, 30]"
2020-06-03 10:31:06.806643024,HOLDINGS_UPDATED,"{'CASH': 9799732.0, 'ABM': 2}"
2020-06-03 10:31:10.042168045,BID_DEPTH,"[(100142, 2)]"
2020-06-03 10:31:10.042168045,ASK_DEPTH,"[(100143, 30)]"
2020-06-03 10:31:10.042168045,IMBALANCE,"[2, 30]"
2020-06-03 10:31:20.048192230,BID_DEPTH,"[(100142, 1)]"
2020-06-03 10:31:20.048192230,ASK_DEPTH,"[(100143, 61)]"
2020-06-03 10:31:20.048192230,IMBALANCE,"[1, 61]"
2020-06-03 10:31:21.361566229,HOLDINGS_UPDATED,"{'CASH': 9699590.0, 'ABM': 3}"
2020-06-03 10:31:25.152913437,HOLDINGS_UPDATED,"{'CASH': 9599454.0, 'ABM': 4}"
2020-06-03 10:31:30.054216315,BID_DEPTH,"[(100130, 1)]"
2020-06-03 10:31:30.054216315,ASK_DEPTH,"[(100136, 40)]"
2020-06-03 10:31:30.054216315,IMBALANCE,"[1, 40]"
2020-06-03 10:31:37.639653936,HOLDINGS_UPDATED,"{'CASH': 9198930.0, 'ABM': 8}"
2020-06-03 10:31:40.060240450,BID_DEPTH,"[(100130, 40)]"
2020-06-03 10:31:40.060240450,ASK_DEPTH,"[(100131, 28)]"
2020-06-03 10:31:40.060240450,IMBALANCE,"[40, 28]"
2020-06-03 10:31:46.439541730,HOLDINGS_UPDATED,"{'CASH': 9098800.0, 'ABM': 9}"
2020-06-03 10:31:50.066264585,BID_DEPTH,"[(100125, 1)]"
2020-06-03 10:31:50.066264585,ASK_DEPTH,"[(100126, 35)]"
2020-06-03 10:31:50.066264585,IMBALANCE,"[1, 35]"
2020-06-03 10:31:59.985214633,HOLDINGS_UPDATED,"{'CASH': 8998675.0, 'ABM': 10}"
2020-06-03 10:32:00.072288720,BID_DEPTH,"[(100120, 1)]"
2020-06-03 10:32:00.072288720,ASK_DEPTH,"[(100125, 33)]"
2020-06-03 10:32:00.072288720,IMBALANCE,"[1, 33]"
2020-06-03 10:32:05.793345403,HOLDINGS_UPDATED,"{'CASH': 8798435.0, 'ABM': 12}"
2020-06-03 10:32:10.078312855,BID_DEPTH,"[(100115, 2)]"
2020-06-03 10:32:10.078312855,ASK_DEPTH,"[(100120, 57)]"
2020-06-03 10:32:10.078312855,IMBALANCE,"[2, 57]"
2020-06-03 10:32:20.084337040,BID_DEPTH,"[(100117, 35)]"
2020-06-03 10:32:20.084337040,ASK_DEPTH,"[(100120, 54)]"
2020-06-03 10:32:20.084337040,IMBALANCE,"[35, 54]"
2020-06-03 10:32:30.090361225,BID_DEPTH,"[(100119, 36)]"
2020-06-03 10:32:30.090361225,ASK_DEPTH,"[(100120, 20)]"
2020-06-03 10:32:30.090361225,IMBALANCE,"[36, 20]"
2020-06-03 10:32:32.057296533,HOLDINGS_UPDATED,"{'CASH': 8898555.0, 'ABM': 11}"
2020-06-03 10:32:40.096385360,BID_DEPTH,"[(100125, 35)]"
2020-06-03 10:32:40.096385360,ASK_DEPTH,"[(100127, 1)]"
2020-06-03 10:32:40.096385360,IMBALANCE,"[35, 1]"
2020-06-03 10:32:40.105640348,HOLDINGS_UPDATED,"{'CASH': 8998682.0, 'ABM': 10}"
2020-06-03 10:32:50.102409495,BID_DEPTH,"[(100133, 35)]"
2020-06-03 10:32:50.102409495,ASK_DEPTH,"[(100134, 68)]"
2020-06-03 10:32:50.102409495,IMBALANCE,"[35, 68]"
2020-06-03 10:32:51.269296293,HOLDINGS_UPDATED,"{'CASH': 8898549.0, 'ABM': 11}"
2020-06-03 10:33:00.108433630,BID_DEPTH,"[(100116, 29)]"
2020-06-03 10:33:00.108433630,ASK_DEPTH,"[(100129, 34)]"
2020-06-03 10:33:00.108433630,IMBALANCE,"[29, 34]"
2020-06-03 10:33:10.114457815,BID_DEPTH,"[(100117, 1)]"
2020-06-03 10:33:10.114457815,ASK_DEPTH,"[(100128, 1)]"
2020-06-03 10:33:10.114457815,IMBALANCE,"[1, 1]"
2020-06-03 10:33:20.120482000,BID_DEPTH,"[(100127, 32)]"
2020-06-03 10:33:20.120482000,ASK_DEPTH,"[(100128, 1)]"
2020-06-03 10:33:20.120482000,IMBALANCE,"[32, 1]"
2020-06-03 10:33:24.644558274,HOLDINGS_UPDATED,"{'CASH': 8998678.0, 'ABM': 10}"
2020-06-03 10:33:30.126506135,BID_DEPTH,"[(100138, 29)]"
2020-06-03 10:33:30.126506135,ASK_DEPTH,"[(100158, 1)]"
2020-06-03 10:33:30.126506135,IMBALANCE,"[29, 1]"
2020-06-03 10:33:40.132530320,BID_DEPTH,"[(100147, 29)]"
2020-06-03 10:33:40.132530320,ASK_DEPTH,"[(100162, 1)]"
2020-06-03 10:33:40.132530320,IMBALANCE,"[29, 1]"
2020-06-03 10:33:43.370155872,HOLDINGS_UPDATED,"{'CASH': 9098840.0, 'ABM': 9}"
2020-06-03 10:33:50.138554455,BID_DEPTH,"[(100162, 106)]"
2020-06-03 10:33:50.138554455,ASK_DEPTH,"[(100164, 36)]"
2020-06-03 10:33:50.138554455,IMBALANCE,"[106, 36]"
2020-06-03 10:34:00.144578640,BID_DEPTH,"[(100163, 71)]"
2020-06-03 10:34:00.144578640,ASK_DEPTH,"[(100164, 35)]"
2020-06-03 10:34:00.144578640,IMBALANCE,"[71, 35]"
2020-06-03 10:34:10.150602825,BID_DEPTH,"[(100163, 109)]"
2020-06-03 10:34:10.150602825,ASK_DEPTH,"[(100164, 6)]"
2020-06-03 10:34:10.150602825,IMBALANCE,"[109, 6]"
2020-06-03 10:34:20.156627010,BID_DEPTH,"[(100163, 110)]"
2020-06-03 10:34:20.156627010,ASK_DEPTH,"[(100164, 7)]"
2020-06-03 10:34:20.156627010,IMBALANCE,"[110, 7]"
2020-06-03 10:34:21.646562579,HOLDINGS_UPDATED,"{'CASH': 9199004.0, 'ABM': 8}"
2020-06-03 10:34:26.133853793,HOLDINGS_UPDATED,"{'CASH': 9299173.0, 'ABM': 7}"
2020-06-03 10:34:30.162651095,BID_DEPTH,"[(100169, 30)]"
2020-06-03 10:34:30.162651095,ASK_DEPTH,"[(100174, 1)]"
2020-06-03 10:34:30.162651095,IMBALANCE,"[30, 1]"
2020-06-03 10:34:40.168675280,BID_DEPTH,"[(100171, 35)]"
2020-06-03 10:34:40.168675280,ASK_DEPTH,"[(100174, 1)]"
2020-06-03 10:34:40.168675280,IMBALANCE,"[35, 1]"
2020-06-03 10:34:50.174699465,BID_DEPTH,"[(100172, 35)]"
2020-06-03 10:34:50.174699465,ASK_DEPTH,"[(100174, 1)]"
2020-06-03 10:34:50.174699465,IMBALANCE,"[35, 1]"
2020-06-03 10:34:58.200820164,HOLDINGS_UPDATED,"{'CASH': 9399348.0, 'ABM': 6}"
2020-06-03 10:35:00.180723600,BID_DEPTH,"[(100184, 41)]"
2020-06-03 10:35:00.180723600,ASK_DEPTH,"[(100189, 1)]"
2020-06-03 10:35:00.180723600,IMBALANCE,"[41, 1]"
2020-06-03 10:35:09.985910936,HOLDINGS_UPDATED,"{'CASH': 9800104.0, 'ABM': 2}"
2020-06-03 10:35:10.186747735,BID_DEPTH,"[(100189, 28)]"
2020-06-03 10:35:10.186747735,ASK_DEPTH,"[(100194, 4)]"
2020-06-03 10:35:10.186747735,IMBALANCE,"[28, 4]"
2020-06-03 10:35:15.178057830,HOLDINGS_UPDATED,{'CASH': 10000492.0}
2020-06-03 10:35:20.192771870,BID_DEPTH,"[(100198, 29)]"
2020-06-03 10:35:20.192771870,ASK_DEPTH,"[(100199, 2)]"
2020-06-03 10:35:20.192771870,IMBALANCE,"[29, 2]"
2020-06-03 10:35:27.856514638,HOLDINGS_UPDATED,"{'CASH': 10200890.0, 'ABM': -2}"
2020-06-03 10:35:30.198796005,BID_DEPTH,"[(100204, 33)]"
2020-06-03 10:35:30.198796005,ASK_DEPTH,"[(100205, 42)]"
2020-06-03 10:35:30.198796005,IMBALANCE,"[33, 42]"
2020-06-03 10:35:31.793670622,HOLDINGS_UPDATED,"{'CASH': 10301095.0, 'ABM': -3}"
2020-06-03 10:35:40.204820140,BID_DEPTH,"[(100210, 34)]"
2020-06-03 10:35:40.204820140,ASK_DEPTH,"[(100215, 1)]"
2020-06-03 10:35:40.204820140,IMBALANCE,"[34, 1]"
2020-06-03 10:35:41.846990484,HOLDINGS_UPDATED,"{'CASH': 10601740.0, 'ABM': -6}"
2020-06-03 10:35:47.115984226,HOLDINGS_UPDATED,"{'CASH': 10902445.0, 'ABM': -9}"
2020-06-03 10:35:50.210844225,BID_DEPTH,"[(100253, 32)]"
2020-06-03 10:35:50.210844225,ASK_DEPTH,"[(100255, 3)]"
2020-06-03 10:35:50.210844225,IMBALANCE,"[32, 3]"
2020-06-03 10:35:52.489535080,HOLDINGS_UPDATED,"{'CASH': 11002701.0, 'ABM': -10}"
2020-06-03 10:35:56.241891942,HOLDINGS_UPDATED,"{'CASH': 11102970.0, 'ABM': -11}"
2020-06-03 10:36:00.216868310,BID_DEPTH,"[(100269, 28)]"
2020-06-03 10:36:00.216868310,ASK_DEPTH,"[(100272, 1)]"
2020-06-03 10:36:00.216868310,IMBALANCE,"[28, 1]"
2020-06-03 10:36:06.560339047,HOLDINGS_UPDATED,"{'CASH': 11203242.0, 'ABM': -12}"
2020-06-03 10:36:10.222892445,BID_DEPTH,"[(100269, 29)]"
2020-06-03 10:36:10.222892445,ASK_DEPTH,"[(100287, 1)]"
2020-06-03 10:36:10.222892445,IMBALANCE,"[29, 1]"
2020-06-03 10:36:20.228916630,BID_DEPTH,"[(100272, 1)]"
2020-06-03 10:36:20.228916630,ASK_DEPTH,"[(100285, 1)]"
2020-06-03 10:36:20.228916630,IMBALANCE,"[1, 1]"
2020-06-03 10:36:27.387539586,HOLDINGS_UPDATED,"{'CASH': 11303527.0, 'ABM': -13}"
2020-06-03 10:36:30.234940765,BID_DEPTH,"[(100332, 32)]"
2020-06-03 10:36:30.234940765,ASK_DEPTH,"[(100349, 1)]"
2020-06-03 10:36:30.234940765,IMBALANCE,"[32, 1]"
2020-06-03 10:36:40.240964950,BID_DEPTH,"[(100333, 1)]"
2020-06-03 10:36:40.240964950,ASK_DEPTH,"[(100336, 32)]"
2020-06-03 10:36:40.240964950,IMBALANCE,"[1, 32]"
2020-06-03 10:36:50.246989135,BID_DEPTH,"[(100330, 1)]"
2020-06-03 10:36:50.246989135,ASK_DEPTH,"[(100336, 67)]"
2020-06-03 10:36:50.246989135,IMBALANCE,"[1, 67]"
2020-06-03 10:36:58.927236037,HOLDINGS_UPDATED,"{'CASH': 11203197.0, 'ABM': -12}"
2020-06-03 10:37:00.253013270,BID_DEPTH,"[(100298, 1)]"
2020-06-03 10:37:00.253013270,ASK_DEPTH,"[(100330, 40)]"
2020-06-03 10:37:00.253013270,IMBALANCE,"[1, 40]"
2020-06-03 10:37:10.259037455,BID_DEPTH,"[(100304, 1)]"
2020-06-03 10:37:10.259037455,ASK_DEPTH,"[(100325, 1)]"
2020-06-03 10:37:10.259037455,IMBALANCE,"[1, 1]"
2020-06-03 10:37:12.939261283,HOLDINGS_UPDATED,"{'CASH': 11102894.0, 'ABM': -11}"
2020-06-03 10:37:20.265061590,BID_DEPTH,"[(100319, 36)]"
2020-06-03 10:37:20.265061590,ASK_DEPTH,"[(100323, 42)]"
2020-06-03 10:37:20.265061590,IMBALANCE,"[36, 42]"
2020-06-03 10:37:30.271085775,BID_DEPTH,"[(100320, 29)]"
2020-06-03 10:37:30.271085775,ASK_DEPTH,"[(100323, 42)]"
2020-06-03 10:37:30.271085775,IMBALANCE,"[29, 42]"
2020-06-03 10:37:40.277109960,BID_DEPTH,"[(100322, 29)]"
2020-06-03 10:37:40.277109960,ASK_DEPTH,"[(100323, 6)]"
2020-06-03 10:37:40.277109960,IMBALANCE,"[29, 6]"
2020-06-03 10:37:48.656863637,HOLDINGS_UPDATED,"{'CASH': 11203217.0, 'ABM': -12}"
2020-06-03 10:37:50.283134095,BID_DEPTH,"[(100323, 21)]"
2020-06-03 10:37:50.283134095,ASK_DEPTH,"[(100325, 3)]"
2020-06-03 10:37:50.283134095,IMBALANCE,"[21, 3]"
2020-06-03 10:37:51.434221615,HOLDINGS_UPDATED,"{'CASH': 11303542.0, 'ABM': -13}"
2020-06-03 10:38:00.289158230,BID_DEPTH,"[(100331, 41)]"
2020-06-03 10:38:00.289158230,ASK_DEPTH,"[(100337, 1)]"
2020-06-03 10:38:00.289158230,IMBALANCE,"[41, 1]"
2020-06-03 10:38:10.295182415,BID_DEPTH,"[(100332, 1)]"
2020-06-03 10:38:10.295182415,ASK_DEPTH,"[(100337, 1)]"
2020-06-03 10:38:10.295182415,IMBALANCE,"[1, 1]"
2020-06-03 10:38:11.816143608,HOLDINGS_UPDATED,"{'CASH': 11403879.0, 'ABM': -14}"
2020-06-03 10:38:20.301206550,BID_DEPTH,"[(100351, 35)]"
2020-06-03 10:38:20.301206550,ASK_DEPTH,"[(100361, 1)]"
2020-06-03 10:38:20.301206550,IMBALANCE,"[35, 1]"
2020-06-03 10:38:30.307230735,BID_DEPTH,"[(100357, 29)]"
2020-06-03 10:38:30.307230735,ASK_DEPTH,"[(100360, 1)]"
2020-06-03 10:38:30.307230735,IMBALANCE,"[29, 1]"
2020-06-03 10:38:36.047240728,HOLDINGS_UPDATED,"{'CASH': 11504240.0, 'ABM': -15}"
2020-06-03 10:38:40.313254870,BID_DEPTH,"[(100361, 60)]"
2020-06-03 10:38:40.313254870,ASK_DEPTH,"[(100362, 1)]"
2020-06-03 10:38:40.313254870,IMBALANCE,"[60, 1]"
2020-06-03 10:38:40.612419644,HOLDINGS_UPDATED,"{'CASH': 11604602.0, 'ABM': -16}"
2020-06-03 10:38:50.319279005,BID_DEPTH,"[(100368, 35)]"
2020-06-03 10:38:50.319279005,ASK_DEPTH,"[(100372, 1)]"
2020-06-03 10:38:50.319279005,IMBALANCE,"[35, 1]"
2020-06-03 10:38:53.211084712,HOLDINGS_UPDATED,"{'CASH': 11704974.0, 'ABM': -17}"
2020-06-03 10:39:00.325303140,BID_DEPTH,"[(100383, 29)]"
2020-06-03 10:39:00.325303140,ASK_DEPTH,"[(100386, 1)]"
