EventTime,EventType,Event
,AGENT_TYPE,MomentumAgent
,STARTING_CASH,10000000
2020-06-03 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2020-06-03 10:30:20.011909586,BID_DEPTH,"[(100160, 23.0)]"
2020-06-03 10:30:20.011909586,ASK_DEPTH,"[(100161, 74)]"
2020-06-03 10:30:20.011909586,IMBALANCE,"[23.0, 74]"
2020-06-03 10:30:40.023819172,BID_DEPTH,"[(100160, 23.0)]"
2020-06-03 10:30:40.023819172,ASK_DEPTH,"[(100161, 74)]"
2020-06-03 10:30:40.023819172,IMBALANCE,"[23.0, 74]"
2020-06-03 10:31:00.035728758,BID_DEPTH,"[(100142, 2)]"
2020-06-03 10:31:00.035728758,ASK_DEPTH,"[(100148, 30)]"
2020-06-03 10:31:00.035728758,IMBALANCE,"[2, 30]"
2020-06-03 10:31:20.047638344,BID_DEPTH,"[(100142, 2)]"
2020-06-03 10:31:20.047638344,ASK_DEPTH,"[(100143, 62)]"
2020-06-03 10:31:20.047638344,IMBALANCE,"[2, 62]"
2020-06-03 10:31:40.059547930,BID_DEPTH,"[(100130, 40)]"
2020-06-03 10:31:40.059547930,ASK_DEPTH,"[(100131, 28)]"
2020-06-03 10:31:40.059547930,IMBALANCE,"[40, 28]"
2020-06-03 10:32:00.071457516,BID_DEPTH,"[(100120, 1)]"
2020-06-03 10:32:00.071457516,ASK_DEPTH,"[(100125, 33)]"
2020-06-03 10:32:00.071457516,IMBALANCE,"[1, 33]"
2020-06-03 10:32:20.083367102,BID_DEPTH,"[(100117, 35)]"
2020-06-03 10:32:20.083367102,ASK_DEPTH,"[(100120, 55)]"
2020-06-03 10:32:20.083367102,IMBALANCE,"[35, 55]"
2020-06-03 10:32:40.095276688,BID_DEPTH,"[(100125, 35)]"
2020-06-03 10:32:40.095276688,ASK_DEPTH,"[(100127, 1)]"
2020-06-03 10:32:40.095276688,IMBALANCE,"[35, 1]"
2020-06-03 10:33:00.107186274,BID_DEPTH,"[(100127, 1)]"
2020-06-03 10:33:00.107186274,ASK_DEPTH,"[(100129, 34)]"
2020-06-03 10:33:00.107186274,IMBALANCE,"[1, 34]"
2020-06-03 10:33:20.119095860,BID_DEPTH,"[(100127, 32)]"
2020-06-03 10:33:20.119095860,ASK_DEPTH,"[(100128, 2)]"
2020-06-03 10:33:20.119095860,IMBALANCE,"[32, 2]"
2020-06-03 10:33:40.131005446,BID_DEPTH,"[(100147, 29)]"
2020-06-03 10:33:40.131005446,ASK_DEPTH,"[(100156, 1)]"
2020-06-03 10:33:40.131005446,IMBALANCE,"[29, 1]"
2020-06-03 10:34:00.142915032,BID_DEPTH,"[(100163, 71)]"
2020-06-03 10:34:00.142915032,ASK_DEPTH,"[(100164, 35)]"
2020-06-03 10:34:00.142915032,IMBALANCE,"[71, 35]"
2020-06-03 10:34:20.154824618,BID_DEPTH,"[(100163, 111)]"
2020-06-03 10:34:20.154824618,ASK_DEPTH,"[(100164, 8)]"
2020-06-03 10:34:20.154824618,IMBALANCE,"[111, 8]"
2020-06-03 10:34:40.166734204,BID_DEPTH,"[(100171, 35)]"
2020-06-03 10:34:40.166734204,ASK_DEPTH,"[(100174, 2)]"
2020-06-03 10:34:40.166734204,IMBALANCE,"[35, 2]"
2020-06-03 10:35:00.178643790,BID_DEPTH,"[(100184, 41)]"
2020-06-03 10:35:00.178643790,ASK_DEPTH,"[(100187, 1)]"
2020-06-03 10:35:00.178643790,IMBALANCE,"[41, 1]"
2020-06-03 10:35:20.190553376,BID_DEPTH,"[(100198, 29)]"
2020-06-03 10:35:20.190553376,ASK_DEPTH,"[(100199, 2)]"
2020-06-03 10:35:20.190553376,IMBALANCE,"[29, 2]"
2020-06-03 10:35:40.202462962,BID_DEPTH,"[(100210, 34)]"
2020-06-03 10:35:40.202462962,ASK_DEPTH,"[(100211, 1)]"
2020-06-03 10:35:40.202462962,IMBALANCE,"[34, 1]"
2020-06-03 10:36:00.214372548,BID_DEPTH,"[(100269, 28)]"
2020-06-03 10:36:00.214372548,ASK_DEPTH,"[(100272, 1)]"
2020-06-03 10:36:00.214372548,IMBALANCE,"[28, 1]"
2020-06-03 10:36:20.226282134,BID_DEPTH,"[(100272, 1)]"
2020-06-03 10:36:20.226282134,ASK_DEPTH,"[(100285, 1)]"
2020-06-03 10:36:20.226282134,IMBALANCE,"[1, 1]"
2020-06-03 10:36:40.238191720,BID_DEPTH,"[(100333, 1)]"
2020-06-03 10:36:40.238191720,ASK_DEPTH,"[(100336, 32)]"
2020-06-03 10:36:40.238191720,IMBALANCE,"[1, 32]"
2020-06-03 10:37:00.250101306,BID_DEPTH,"[(100300, 1)]"
2020-06-03 10:37:00.250101306,ASK_DEPTH,"[(100330, 40)]"
2020-06-03 10:37:00.250101306,IMBALANCE,"[1, 40]"
2020-06-03 10:37:20.262010892,BID_DEPTH,"[(100319, 36)]"
2020-06-03 10:37:20.262010892,ASK_DEPTH,"[(100323, 42)]"
2020-06-03 10:37:20.262010892,IMBALANCE,"[36, 42]"
2020-06-03 10:37:40.273920478,BID_DEPTH,"[(100322, 29)]"
2020-06-03 10:37:40.273920478,ASK_DEPTH,"[(100323, 6)]"
