EventTime,EventType,Event,case
2020-06-03 00:00:00.000000000,STARTING_CASH,10000000,1
2020-06-03 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000},1
2020-06-03 10:30:00.006070086,BID_DEPTH,[],1
2020-06-03 10:30:00.006070086,ASK_DEPTH,[],1
2020-06-03 10:30:00.006070086,IMBALANCE,"[0, 0]",1
2020-06-03 10:45:07.667413704,BID_DEPTH,"[(100934, 11)]",1
2020-06-03 10:45:07.667413704,ASK_DEPTH,"[(100936, 1)]",1
2020-06-03 10:45:07.667413704,IMBALANCE,"[11, 1]",1
2020-06-03 10:45:07.673483691,HOLDINGS_UPDATED,"{'CASH': 11009340, 'ABM': -10}",1
2020-06-03 10:45:07.673483741,HOLDINGS_UPDATED,"{'CASH': 11110274, 'ABM': -11}",1
2020-06-03 10:45:07.673483791,FINAL_HOLDINGS,"{ ABM: -11, CASH: 11110274 }",1
2020-06-03 10:45:07.673483791,FINAL_CASH_POSITION,11110274,1
2020-06-03 10:45:07.673483791,MARK_TO_MARKET,-11 ABM @ 100934 == -1110274,1
2020-06-03 10:45:07.673483791,MARKED_TO_MARKET,10000000,1
2020-06-03 10:45:07.673483791,ENDING_CASH,10000000,1
2020-06-03 10:45:07.673483791,FINAL_VALUATION,0.1110274,1
