EventTime,EventType,Event
,AGENT_TYPE,ValueAgent
,STARTING_CASH,10000000
2020-06-03 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2020-06-03 10:30:00.004785238,BID_DEPTH,[]
2020-06-03 10:30:00.004785238,ASK_DEPTH,[]
2020-06-03 10:30:00.004785238,IMBALANCE,"[0, 0]"
2020-06-03 10:30:45.605710289,BID_DEPTH,"[(100159, 2)]"
2020-06-03 10:30:45.605710289,ASK_DEPTH,"[(100160, 9.0)]"
2020-06-03 10:30:45.605710289,IMBALANCE,"[2, 9.0]"
2020-06-03 10:30:45.610495523,HOLDINGS_UPDATED,"{'CASH': 9098560.0, 'ABM': 9.0}"
2020-06-03 10:30:55.148585282,HOLDINGS_UPDATED,"{'CASH': 6494400.0, 'ABM': 35.0}"
2020-06-03 10:31:03.000717436,BID_DEPTH,"[(100143, 2)]"
2020-06-03 10:31:03.000717436,ASK_DEPTH,"[(100148, 26)]"
2020-06-03 10:31:03.000717436,IMBALANCE,"[2, 26]"
2020-06-03 10:31:49.286587578,BID_DEPTH,"[(100125, 1)]"
2020-06-03 10:31:49.286587578,ASK_DEPTH,"[(100130, 34)]"
2020-06-03 10:31:49.286587578,IMBALANCE,"[1, 34]"
2020-06-03 10:31:50.074569078,HOLDINGS_UPDATED,"{'CASH': 6594526.0, 'ABM': 34.0}"
2020-06-03 10:31:53.386313307,HOLDINGS_UPDATED,"{'CASH': 9498180.0, 'ABM': 5.0}"
2020-06-03 10:31:59.980429399,BID_DEPTH,"[(100125, 2)]"
2020-06-03 10:31:59.980429399,ASK_DEPTH,"[(100126, 1)]"
2020-06-03 10:31:59.980429399,IMBALANCE,"[2, 1]"
2020-06-03 10:31:59.985214633,HOLDINGS_UPDATED,"{'CASH': 9598305.0, 'ABM': 4.0}"
2020-06-03 10:31:59.985214683,HOLDINGS_UPDATED,"{'CASH': 9698430.0, 'ABM': 3.0}"
2020-06-03 10:32:00.080783322,HOLDINGS_UPDATED,"{'CASH': 9898680.0, 'ABM': 1.0}"
2020-06-03 10:32:00.080783372,HOLDINGS_UPDATED,"{'CASH': 10098930.0, 'ABM': -1.0}"
2020-06-03 10:32:15.855369609,BID_DEPTH,"[(100115, 2)]"
2020-06-03 10:32:15.855369609,ASK_DEPTH,"[(100120, 55)]"
2020-06-03 10:32:15.855369609,IMBALANCE,"[2, 55]"
2020-06-03 10:32:22.368910117,BID_DEPTH,"[(100117, 2)]"
2020-06-03 10:32:22.368910117,ASK_DEPTH,"[(100120, 56)]"
2020-06-03 10:32:22.368910117,IMBALANCE,"[2, 56]"
2020-06-03 10:32:22.373695351,HOLDINGS_UPDATED,"{'CASH': 7896290.0, 'ABM': 21.0}"
2020-06-03 10:32:22.373695401,HOLDINGS_UPDATED,"{'CASH': 6594730.0, 'ABM': 34.0}"
2020-06-03 10:32:32.052511299,BID_DEPTH,"[(100119, 80)]"
2020-06-03 10:32:32.052511299,ASK_DEPTH,"[(100120, 21)]"
2020-06-03 10:32:32.052511299,IMBALANCE,"[80, 21]"
2020-06-03 10:32:32.057296533,HOLDINGS_UPDATED,"{'CASH': 4692450.0, 'ABM': 53.0}"
2020-06-03 10:32:32.057296583,HOLDINGS_UPDATED,"{'CASH': 4592330.0, 'ABM': 54.0}"
2020-06-03 10:32:32.057296633,HOLDINGS_UPDATED,"{'CASH': 4492210.0, 'ABM': 55.0}"
2020-06-03 10:32:35.917875943,BID_DEPTH,"[(100119, 80)]"
